ID;Host ID;Host Since;Neighbourhood;City;State;Zipcode;Latitude;Longitude;Property Type;Room Type;Bathrooms;Bedrooms;Beds;Bed Type;Square Feet;Cleaning Fee;Availability 365;Review Scores Location;Cancellation Policy;Accommodates;Reviews per Month;Minimum Nights;Price;Monthly Price;Weekly Price;Occupancy
14880212;88266123;2016-08-06;Palos de Moguer;Madrid;Comunidad de Madrid;28045;40.40360065115276;-3.691062950014814;Apartment;Private room;1.0;1.0;1.0;Real Bed;;25.0;96.0;10.0;moderate;2.0;11.21;1.0;50.0;;;1.40125
13872167;21702761;2014-09-23;Palos de Moguer;Madrid;Comunidad de Madrid;28045;40.40099093927206;-3.6929598013213183;Apartment;Private room;1.0;1.0;1.0;Real Bed;;0.0;0.0;;flexible;1.0;;1.0;65.0;;;0.0
8739828;45850596;2015-10-05;Palos do Moguer;Madrid;Comunidad de Madrid;28045;40.40238882046072;-3.690974588136517;Apartment;Entire home/apt;1.0;1.0;1.0;Real Bed;;30.0;272.0;10.0;strict;4.0;0.22;2.0;55.0;1500.0;420.0;0.019411764705882354
11598999;58003577;2016-02-09;Castillejos;Madrid;Comunidad de Madrid;28020;40.46211424949312;-3.697487662081674;Apartment;Entire home/apt;1.0;2.0;2.0;Real Bed;;0.0;324.0;9.0;moderate;5.0;1.34;2.0;80.0;1500.0;450.0;0.09925925925925927
15891267;80917877;2016-06-30;Vallehermoso;Madrid;Comunidad de Madrid;28003;40.43912992114613;-3.7087115563281134;Apartment;Entire home/apt;1.0;1.0;2.0;Real Bed;;22.0;287.0;10.0;flexible;3.0;3.16;2.0;60.0;;;0.2642508710801394
1038500;2516266;2012-06-01;Almenara;Madrid;Community of Madrid;28029;40.47149811902705;-3.6918370822945015;Apartment;Entire home/apt;1.0;0.0;1.0;Real Bed;0.0;0.0;302.0;7.0;moderate;4.0;0.19;2.0;50.0;1150.0;350.0;0.015099337748344372
5062841;23774906;2014-11-15;Valdeacederas;Madrid;Comunidad de Madrid;28029;40.46793462438476;-3.699904680786752;Apartment;Entire home/apt;1.0;1.0;3.0;Real Bed;;20.0;349.0;7.0;flexible;4.0;0.88;2.0;70.0;1500.0;550.0;0.06051575931232092
17494953;118546221;2017-02-28;Valdeacederas;Madrid;Comunidad de Madrid;28039;40.46335317943944;-3.701282341950909;Apartment;Shared room;1.0;1.0;2.0;Real Bed;;0.0;341.0;8.0;flexible;1.0;6.0;1.0;10.0;;;0.21114369501466276
11600132;45462346;2015-09-30;Valdeacederas;Madrid;Comunidad de Madrid;28029;40.46714528455884;-3.698887458442128;Apartment;Private room;1.0;1.0;1.0;Real Bed;;0.0;365.0;10.0;flexible;2.0;0.46;1.0;20.0;;;0.015123287671232877
13494069;72185095;2016-05-15;Berruguete;Madrid;Comunidad de Madrid;28039;40.45869154246671;-3.709152394334696;Apartment;Private room;1.0;1.0;1.0;Real Bed;;0.0;365.0;;flexible;2.0;0.14;1.0;19.0;;;0.004602739726027398
604632;2993477;2012-07-19;Berruguete;Madrid;Madrid;28039;40.45720879210306;-3.7038336731304335;Apartment;Private room;1.0;1.0;2.0;Real Bed;0.0;5.0;365.0;7.0;strict;2.0;0.39;1.0;22.0;;;0.012821917808219178
17786099;13639464;2014-03-28;Berruguete;Madrid;Comunidad de Madrid;28039;40.458189439093125;-3.704780000387599;House;Entire home/apt;1.0;1.0;1.0;Real Bed;;0.0;170.0;;flexible;2.0;;2.0;55.0;;;0.0
7398694;38765097;2015-07-17;Berruguete;Madrid;Comunidad de Madrid;28039;40.46178706001805;-3.702135595171565;Condominium;Private room;2.0;1.0;1.0;Real Bed;;0.0;319.0;9.0;flexible;2.0;1.07;3.0;23.0;;;0.12075235109717868
5057047;26110654;2015-01-14;Berruguete;Madrid;Comunidad de Madrid;;40.45976324669547;-3.708151504077332;Apartment;Entire home/apt;1.0;0.0;1.0;Pull out Sofa;;15.0;0.0;9.0;flexible;2.0;0.53;4.0;30.0;;140.0;2.5440002544000257e-06
8534767;20777458;2014-08-31;Gaztambide;Madrid;Comunidad de Madrid;28015;40.43626921411544;-3.715007167564058;Apartment;Private room;2.0;1.0;2.0;Real Bed;;0.0;178.0;10.0;strict;2.0;0.98;1.0;30.0;;;0.06606741573033707
6085244;28808831;2015-03-05;Gaztambide;Madrid;Comunidad de Madrid;28008;40.43186410387223;-3.715283454665355;Apartment;Private room;1.0;1.0;1.0;Real Bed;;0.0;322.0;10.0;flexible;1.0;1.55;1.0;30.0;500.0;150.0;0.05776397515527951
12339653;65356385;2016-04-01;Gaztambide;Madrid;Comunidad de Madrid;28015;40.43460548218037;-3.715809766059058;Apartment;Private room;1.0;1.0;1.0;Real Bed;;0.0;0.0;10.0;flexible;1.0;0.13;1.0;18.0;;;1.5600001560000155e-07
17615538;119754501;2017-03-08;Arapiles;Madrid;Comunidad de Madrid;28015;40.43493296143046;-3.707217367011988;House;Entire home/apt;1.0;2.0;3.0;Real Bed;;30.0;187.0;8.0;strict;4.0;2.0;2.0;90.0;;;0.25668449197860965
12840954;49772159;2015-11-24;Arapiles;Madrid;Comunidad de Madrid;28015;40.43263253293952;-3.7094712877505662;Apartment;Entire home/apt;1.0;0.0;1.0;Real Bed;;15.0;121.0;9.0;moderate;2.0;3.58;4.0;44.0;850.0;220.0;1.4201652892561984
18102388;65068845;2016-03-30;Embajadores;Madrid;Comunidad de Madrid;28012;40.40761467669779;-3.6993042691064937;Apartment;Private room;2.0;1.0;1.0;Real Bed;;30.0;61.0;;strict;1.0;;7.0;42.0;;;0.0
7282895;4839888;2013-01-25;Embajadores;Madrid;Comunidad de Madrid;28012;40.4103920885821;-3.698410909683121;Loft;Entire home/apt;2.0;1.0;1.0;Real Bed;;15.0;346.0;;moderate;4.0;;2.0;90.0;;;0.0
13440371;76703671;2016-06-09;Embajadores;Madrid;Community of Madrid;28012;40.40967363112112;-3.7005956059028495;Apartment;Private room;1.0;1.0;1.0;Real Bed;;0.0;0.0;10.0;flexible;2.0;1.14;1.0;22.0;;;1.3680001368000137e-06
16978923;110038084;2017-01-05;Embajadores;Madrid;Comunidad de Madrid;28012;40.41031134953219;-3.695009569261392;Apartment;Private room;1.5;1.0;2.0;Real Bed;;10.0;340.0;;strict;3.0;1.0;1.0;40.0;;;0.03529411764705882
15076542;92858148;2016-08-31;Embajadores;Madrid;Comunidad de Madrid;28012;40.41171052747111;-3.703140087670088;Apartment;Entire home/apt;1.0;1.0;1.0;Real Bed;;20.0;170.0;10.0;moderate;2.0;6.89;2.0;50.0;;;0.9727058823529411
13569049;39553675;2015-07-25;Embajadores;Madrid;Comunidad de Madrid;28012;40.40889162686253;-3.706191052811843;Apartment;Private room;1.0;1.0;1.0;Real Bed;;10.0;53.0;9.0;moderate;2.0;1.19;1.0;28.0;;;0.26943396226415095
3047751;5858534;2013-04-10;Embajadores;Madrid;Community of Madrid;28012;40.41016803279744;-3.703923930274552;Bed & Breakfast;Private room;1.0;1.0;1.0;Real Bed;;0.0;149.0;9.0;strict;2.0;1.25;1.0;46.0;800.0;300.0;0.10067114093959731
15206368;8139292;2013-08-13;Embajadores;Madrid;Comunidad de Madrid;28012;40.41131237868848;-3.7011367148976144;Apartment;Entire home/apt;1.0;2.0;2.0;Real Bed;;10.0;287.0;10.0;moderate;4.0;0.5;2.0;65.0;;;0.041811846689895474
4786128;24648154;2014-12-09;Embajadores;Madrid;Comunidad de Madrid;28012;40.41098739620015;-3.700619414002866;Apartment;Entire home/apt;1.0;1.0;1.0;Real Bed;;10.0;0.0;9.0;moderate;2.0;0.22;2.0;55.0;1100.0;400.0;5.280000528000053e-07
11545431;15258781;2014-05-08;La Latina;Madrid;Comunidad de Madrid;28012;40.41163133510101;-3.706211403641427;Apartment;Private room;2.0;1.0;1.0;Real Bed;;15.0;272.0;;strict;1.0;;10.0;20.0;;;0.0
