ID;Self Check-In;Smartlock;Air conditioning;Elevator in building;Essentials;Internet;Heating;Pets allowed;Smoking allowed;Pool;TV;Kitchen;Gym
15394860;False;False;True;True;True;True;True;True;False;False;True;True;False
13594813;False;False;False;True;True;True;True;False;False;False;True;True;False
4435824;False;False;False;True;True;True;True;False;False;False;True;True;False
15406309;False;False;False;True;True;True;True;False;True;False;True;True;False
293189;False;False;True;True;True;True;True;False;False;False;True;True;False
9151853;False;False;False;False;True;True;True;False;True;False;True;True;False
13904716;False;False;True;True;True;True;True;False;True;False;True;True;False
8156946;False;False;False;False;True;True;True;False;False;False;True;True;False
13287453;False;False;True;True;True;True;True;False;False;False;True;True;False
13761034;False;False;True;True;True;False;True;False;False;False;True;True;False
13488025;False;False;False;True;True;True;True;True;True;False;True;True;False
662665;False;False;False;True;True;True;True;False;True;False;False;False;False
15251234;False;False;False;True;True;True;True;False;True;False;True;True;False
11860021;False;False;True;True;True;True;True;False;False;False;False;True;False
11598588;False;False;True;True;True;True;True;False;False;True;True;True;True
18057249;False;False;False;True;True;False;True;False;False;False;True;True;False
13008942;False;False;False;True;True;True;True;True;True;False;True;True;False
17709119;False;False;True;True;False;False;True;False;False;False;False;False;False
11704704;False;False;False;True;True;True;True;False;True;False;True;True;False
17565752;False;False;False;True;True;False;True;False;True;False;True;True;False
14033209;False;False;False;True;True;True;True;True;False;True;True;True;False
16997384;False;False;True;True;False;True;True;False;False;True;True;True;False
7267511;False;False;False;True;True;True;True;True;False;True;True;True;False
6754380;False;False;True;True;True;False;True;False;True;True;True;True;True
6873780;False;False;False;True;True;True;True;True;False;True;True;True;False
11000536;False;False;True;True;True;False;True;False;False;False;True;True;False
2015806;False;False;False;True;False;False;False;False;False;True;False;True;False
9421526;False;False;True;True;True;True;True;True;False;False;True;True;False
1322977;False;False;True;True;False;False;True;False;False;False;True;True;False
9620952;False;False;True;True;True;False;True;False;False;False;True;True;False
13125667;True;True;True;True;True;True;True;False;False;False;True;True;False
597848;False;False;True;False;True;True;True;False;False;False;True;True;False
13039587;False;False;True;True;True;True;True;False;False;False;True;True;False
9850462;False;False;True;True;True;True;True;False;False;False;True;True;False
17262555;False;False;True;False;True;True;True;False;False;False;True;True;False
10699176;False;False;False;True;True;False;True;False;False;False;True;True;False
16596702;False;False;False;True;True;True;True;False;False;False;True;True;False
4716699;False;False;True;True;True;True;True;False;False;False;True;True;True
4837727;False;False;True;True;True;True;True;False;False;False;True;True;False
6127370;False;False;False;False;True;True;True;False;False;False;True;True;False
979312;False;False;True;True;True;True;True;False;False;False;False;True;False
2402661;False;False;True;True;True;True;True;False;False;False;False;True;False
10843652;False;False;True;True;True;False;True;False;False;False;True;True;False
6636431;False;False;True;True;True;True;True;False;False;False;True;True;False
12282554;False;False;False;True;True;False;True;False;False;False;True;True;False
17788489;True;False;True;True;True;True;True;False;False;False;True;True;False
16168583;False;False;True;True;True;False;True;False;True;False;True;True;False
15576015;False;False;True;True;True;False;True;False;False;False;True;True;False
1479064;False;False;False;True;True;True;True;False;False;False;False;True;False
13681907;False;False;True;True;True;False;True;False;False;False;True;True;False
12201598;False;False;False;True;False;False;True;False;False;False;False;False;False
17003150;False;False;False;True;True;False;True;False;False;False;True;True;False
913789;False;False;False;False;False;False;False;False;False;False;False;False;False
8713274;False;False;True;True;True;True;True;True;False;False;True;True;False
9361751;False;False;False;True;True;False;True;False;False;False;True;True;False
17810037;False;False;False;False;True;False;True;False;False;True;False;True;False
4229374;False;False;True;False;True;False;True;False;True;True;True;True;False
13501169;False;False;True;True;True;True;True;False;False;False;True;True;False
15166582;False;False;False;False;False;False;False;False;False;False;False;False;False
12676978;False;False;False;True;False;False;True;False;False;False;False;True;False
12984954;False;False;False;True;True;True;True;True;True;False;True;False;True
13929475;False;False;False;False;True;False;True;False;False;False;True;True;False
10275785;False;False;True;True;True;True;True;False;False;False;True;True;False
14529994;True;False;True;True;True;True;True;False;False;False;True;True;False
15673291;False;False;True;True;True;True;True;False;False;False;True;True;False
17639765;False;False;True;True;True;False;True;False;False;False;False;True;False
681336;False;False;True;True;True;True;True;False;False;False;True;True;False
12985506;False;False;False;True;True;True;True;True;True;False;True;False;True
15656106;False;False;False;True;True;True;True;False;False;True;True;True;True
16099561;False;False;False;False;True;False;False;True;True;False;True;True;False
518208;False;False;False;False;True;True;True;False;False;False;True;True;False
6945351;False;False;True;True;True;True;True;False;False;True;False;True;False
18031154;False;False;True;False;True;False;True;True;False;False;True;True;False
15754269;False;False;False;False;True;False;True;False;False;False;False;True;False
8184461;False;False;True;True;True;True;True;False;False;False;True;True;False
16233923;False;False;True;False;True;True;True;False;False;False;True;True;False
209373;False;False;True;False;False;True;True;False;False;False;True;True;False
15772040;False;False;False;False;True;False;True;True;True;False;True;True;False
16623340;False;False;False;False;True;False;True;False;False;False;True;True;False
8853298;False;False;True;False;True;True;True;False;False;False;True;True;False
15374138;False;False;True;False;True;False;True;False;True;False;True;True;False
17700226;False;False;True;True;True;False;True;False;False;False;True;True;False
7836396;True;False;True;True;True;True;True;False;True;False;True;True;False
16215555;False;False;True;False;True;False;True;True;False;False;False;True;False
17469750;False;False;False;False;True;False;True;False;False;False;False;True;False
8979120;False;False;False;True;True;True;True;False;False;False;False;True;False
12736415;False;False;False;False;True;True;False;False;False;False;False;True;False
1639637;False;False;True;True;True;True;True;False;False;False;True;False;False
9753354;False;False;False;False;True;True;True;True;False;False;True;True;False
415812;False;False;True;False;True;True;True;False;False;False;True;True;False
12899544;False;False;True;False;True;True;True;False;False;False;True;True;False
17258498;False;False;True;False;True;False;True;True;False;False;True;False;False
12891724;False;False;True;False;True;True;True;False;False;False;True;True;False
856669;False;False;True;True;True;True;True;True;True;False;True;True;False
15799022;False;False;False;False;True;False;True;False;False;False;True;True;False
204570;False;False;True;True;True;True;True;False;False;False;True;True;False
17834220;False;False;True;True;True;False;True;False;False;False;True;True;False
13887428;False;False;True;False;True;True;True;False;False;False;True;True;False
10036063;False;False;True;True;True;False;True;False;True;False;True;True;False
7878320;False;False;True;False;True;True;True;False;False;False;True;True;False
17751153;False;False;True;False;True;False;True;False;False;False;True;True;False
15098468;False;False;False;False;True;False;True;False;False;False;True;True;False
7627543;False;False;False;False;True;True;False;True;True;False;True;True;False
6346925;False;False;True;False;True;True;True;False;False;False;False;True;False
746742;False;False;True;True;True;True;True;False;False;False;True;True;False
16574155;False;False;True;False;True;False;True;False;False;False;True;True;False
14569162;False;False;True;True;True;False;True;False;False;False;True;True;False
14567807;False;False;True;True;True;False;True;False;False;False;True;True;False
4154283;False;False;True;True;True;True;True;False;False;False;True;True;False
5371564;False;False;True;True;True;False;True;False;False;False;True;True;False
294529;False;False;False;True;True;True;True;True;True;False;True;True;False
12082059;False;False;True;True;False;True;True;True;False;False;True;True;False
1758875;False;False;True;True;True;True;True;False;False;False;True;True;False
7131451;False;False;True;True;True;True;True;False;False;False;True;True;False
5392350;False;False;True;False;True;True;True;False;True;False;True;True;False
2245805;False;False;True;True;True;False;True;False;False;False;True;True;False
14074165;False;False;True;False;True;True;True;False;False;False;True;True;False
17284269;False;False;True;True;True;False;True;True;False;False;True;True;False
13742902;False;False;False;False;True;False;True;True;False;False;True;True;False
14068801;False;False;True;True;True;True;True;False;False;False;True;True;False
16576796;False;False;True;False;True;True;True;False;True;False;True;True;False
13674439;False;False;False;False;True;True;True;False;False;False;True;True;False
14950931;False;False;False;True;True;True;True;False;False;False;False;True;False
1972094;False;False;True;False;False;True;True;True;False;False;True;True;False
8902915;False;False;False;False;False;False;True;False;False;False;False;True;False
2671483;False;False;True;True;True;True;True;False;False;False;True;True;False
10260390;False;False;True;True;True;True;True;False;True;False;True;True;False
9992690;False;False;True;False;False;True;True;False;False;False;True;True;False
17402111;False;False;False;False;False;False;False;False;False;False;False;False;False
13093286;False;False;True;True;True;False;True;False;True;False;True;True;False
15856309;False;False;False;True;True;False;False;False;False;False;False;True;False
5650684;False;False;False;True;False;True;True;False;False;False;True;True;False
5998651;False;False;False;True;True;False;True;False;False;False;True;True;False
5345635;False;False;False;True;False;True;True;False;False;False;True;True;False
10651585;False;False;False;True;True;True;True;False;False;False;True;True;False
7110704;False;False;False;False;True;False;True;False;False;False;False;True;False
14110691;False;False;True;True;True;False;True;False;True;False;True;True;False
6154924;False;False;True;False;True;True;True;False;False;False;True;True;False
11898460;False;False;True;False;True;True;True;False;True;False;True;True;False
5903209;False;False;True;True;True;True;True;False;False;False;True;True;False
9902616;False;False;True;True;True;True;True;False;False;False;True;True;False
16173232;False;False;True;True;False;False;True;True;False;False;True;True;False
10195541;False;False;True;False;True;True;True;False;True;False;True;True;False
17638720;False;False;False;True;True;False;True;False;True;False;True;True;False
18106938;False;False;False;False;True;True;False;False;False;False;True;True;False
3982780;False;False;False;True;True;False;True;False;False;False;False;True;False
16686631;False;False;False;True;True;False;True;True;True;False;True;True;False
15048977;False;False;False;True;True;False;True;False;True;True;False;True;False
6236533;False;False;True;True;True;True;False;False;False;False;False;True;False
13639349;False;False;False;True;True;False;False;False;False;True;True;True;False
